model_type,train_accuracy,test_accuracy,sensitive_attribute,reference_group,group,n_samples,tpr,fpr,fnr,accuracy,ACC,PE,EOR_FNR,SP,DI,EOD,EOR_TPR,AOD
LogisticRegression,0.8474626865671642,0.8396969696969697,A,0,0,1634,0.7846534653465347,0.13270142180094788,0.21534653465346534,0.8059975520195839,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
LogisticRegression,0.8474626865671642,0.8396969696969697,A,0,1,1666,0.9117647058823529,0.13725490196078433,0.08823529411764706,0.8727490996398559,1.0828185488318334,0.004553480159836448,0.40973630831643004,-0.3209609425165415,0.4791954517656119,0.06583236034782734,1.1619966598626832,0.06583236034782734
