model_type,train_accuracy,test_accuracy,sensitive_attribute,reference_group,group,n_samples,tpr,fpr,fnr,accuracy,ACC,PE,EOR_FNR,SP,DI,EOD,EOR_TPR,AOD
LogisticRegression,0.8507462686567164,0.8421212121212122,A,0,0,1634,0.7955482275350371,0.12589073634204276,0.2044517724649629,0.8157894736842105,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
LogisticRegression,0.8507462686567164,0.8421212121212122,A,0,1,1666,0.9101796407185628,0.14264264264264265,0.08982035928143713,0.8679471788715486,1.0639352515199627,0.01675190630059989,0.43932296696928724,-0.3264924084688955,0.4759444052670184,0.06569165974206283,1.144091092426546,0.06569165974206283
