sensitive_attribute,group,n_samples,mean_dox,std_dox,median_dox,min_dox,max_dox,mean_clarity,mean_distinctiveness,mean_coverage,dox_gap,clarity_gap,distinctiveness_gap,coverage_gap
A,Group_0,1634,0.7947268495106622,0.04673634124388718,0.8080586097678162,0.4672492815311343,0.8128025539637173,0.5333333333333332,0.946838617649511,1.0,0.003208730042333463,1.1102230246251565e-16,0.009167800120952752,0.0
A,Group_1,1666,0.7915181194683287,0.05648668051266808,0.8082592790822175,0.4687864012670967,0.8129306261104677,0.5333333333333333,0.9376708175285583,1.0,0.003208730042333463,1.1102230246251565e-16,0.009167800120952752,0.0
