dataset_name,sensitive_attribute,group,n_samples,mean_dox,std_dox,median_dox,min_dox,max_dox,mean_clarity,mean_distinctiveness,mean_coverage,dox_gap,clarity_gap,distinctiveness_gap,coverage_gap,evaluation_time_seconds
hist_bias_Y_ly_0.00,A,Group_0,1634,0.8122848477003589,0.012693049271041099,0.8132999397391578,0.583124979745867,0.8133300297230872,0.5333333333333332,0.9970043267629299,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.11419534683227539
hist_bias_Y_ly_0.00,A,Group_1,1666,0.8114726920196557,0.017846421109567943,0.8133012334483813,0.47067447364851595,0.8133308279946211,0.5333333333333333,0.9946838819609208,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.11419534683227539
hist_bias_Q_lhq_0.00,A,Group_0,1634,0.8122848477003589,0.012693049271041099,0.8132999397391578,0.583124979745867,0.8133300297230872,0.5333333333333332,0.9970043267629299,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.14710545539855957
hist_bias_Q_lhq_0.00,A,Group_1,1666,0.8114726920196557,0.017846421109567943,0.8133012334483813,0.47067447364851595,0.8133308279946211,0.5333333333333333,0.9946838819609208,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.14710545539855957
hist_bias_R_lhr_0.00,A,Group_0,1634,0.8122848477003589,0.012693049271041099,0.8132999397391578,0.583124979745867,0.8133300297230872,0.5333333333333332,0.9970043267629299,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.1464827060699463
hist_bias_R_lhr_0.00,A,Group_1,1666,0.8114726920196557,0.017846421109567943,0.8133012334483813,0.47067447364851595,0.8133308279946211,0.5333333333333333,0.9946838819609208,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.1464827060699463
interaction_bias_lyb_0.00,A,Group_0,1634,0.8122848477003589,0.012693049271041099,0.8132999397391578,0.583124979745867,0.8133300297230872,0.5333333333333332,0.9970043267629299,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.14355254173278809
interaction_bias_lyb_0.00,A,Group_1,1666,0.8114726920196557,0.017846421109567943,0.8133012334483813,0.47067447364851595,0.8133308279946211,0.5333333333333333,0.9946838819609208,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.14355254173278809
meas_bias_Y_linear_lmy_0.00,A,Group_0,1634,0.8122848477003589,0.012693049271041099,0.8132999397391578,0.583124979745867,0.8133300297230872,0.5333333333333332,0.9970043267629299,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.1481328010559082
meas_bias_Y_linear_lmy_0.00,A,Group_1,1666,0.8114726920196557,0.017846421109567943,0.8133012334483813,0.47067447364851595,0.8133308279946211,0.5333333333333333,0.9946838819609208,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.1481328010559082
meas_bias_Y_nonlinear_lmy_0.00,A,Group_0,1634,0.8122848477003589,0.012693049271041099,0.8132999397391578,0.583124979745867,0.8133300297230872,0.5333333333333332,0.9970043267629299,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.14803051948547363
meas_bias_Y_nonlinear_lmy_0.00,A,Group_1,1666,0.8114726920196557,0.017846421109567943,0.8133012334483813,0.47067447364851595,0.8133308279946211,0.5333333333333333,0.9946838819609208,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.14803051948547363
meas_bias_R_lm_0.00,A,Group_0,1634,0.8122848477003589,0.012693049271041099,0.8132999397391578,0.583124979745867,0.8133300297230872,0.5333333333333332,0.9970043267629299,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.14217424392700195
meas_bias_R_lm_0.00,A,Group_1,1666,0.8114726920196557,0.017846421109567943,0.8133012334483813,0.47067447364851595,0.8133308279946211,0.5333333333333333,0.9946838819609208,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.14217424392700195
undersample_pu_0.00,A,Group_0,2474,0.8108032997677413,0.018389772466595827,0.8128704367969055,0.4687051392101801,0.8132959063957383,0.5333333333333332,0.9927713326697374,1.0,0.0003413615631558953,1.1102230246251565e-16,0.0009753187518742878,0.0,0.15947866439819336
undersample_pu_0.00,A,Group_1,2476,0.8104619382045855,0.019029570696178322,0.8128810962488418,0.48161843510883773,0.8132940318270464,0.5333333333333333,0.9917960139178631,1.0,0.0003413615631558953,1.1102230246251565e-16,0.0009753187518742878,0.0,0.15947866439819336
representation_bias_lr_true0.00,A,Group_0,2474,0.8108032997677413,0.018389772466595827,0.8128704367969055,0.4687051392101801,0.8132959063957383,0.5333333333333332,0.9927713326697374,1.0,0.0003413615631558953,1.1102230246251565e-16,0.0009753187518742878,0.0,0.19535279273986816
representation_bias_lr_true0.00,A,Group_1,2476,0.8104619382045855,0.019029570696178322,0.8128810962488418,0.48161843510883773,0.8132940318270464,0.5333333333333333,0.9917960139178631,1.0,0.0003413615631558953,1.1102230246251565e-16,0.0009753187518742878,0.0,0.19535279273986816
label_noise_sy_0.00,A,Group_0,1634,0.8122848477003589,0.012693049271041099,0.8132999397391578,0.583124979745867,0.8133300297230872,0.5333333333333332,0.9970043267629299,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.10815691947937012
