model_type,train_accuracy,test_accuracy,sensitive_attribute,reference_group,group,n_samples,tpr,fpr,fnr,accuracy,ACC,PE,EOR_FNR,SP,DI,EOD,EOR_TPR,AOD
LogisticRegression,0.8522388059701492,0.8424242424242424,A,0,0,1634,0.7924528301886793,0.12048192771084337,0.20754716981132076,0.8145654834761322,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
LogisticRegression,0.8522388059701492,0.8424242424242424,A,0,1,1666,0.9074626865671642,0.13974455296769348,0.09253731343283582,0.8697478991596639,1.0677446034762514,0.019262625256850102,0.4458616010854817,-0.32766937864497087,0.4730199166280685,0.06713624081766752,1.145131485429993,0.06713624081766752
